eff_dt,merchant_nm,cust_no
8/27/2017,FUNWORLD,2644778.8
8/6/2017,FUNWORLD,1610340.2
8/19/2017,FUNWORLD,547220.2
8/6/2017,FUNWORLD,1881698.4
8/20/2017,FUNWORLD,1564610.4
8/19/2017,FUNWORLD,104801.2
8/19/2017,FUNWORLD,2556827
8/5/2017,FUNWORLD,765441.8
8/22/2017,FUNWORLD,1644528.6
8/6/2017,FUNWORLD,1715782
8/20/2017,FUNWORLD,2112494.4
8/27/2017,FUNWORLD,1604591.8
8/27/2017,FUNWORLD,646134.2
8/20/2017,FUNWORLD,894586.2
8/20/2017,FUNWORLD,1666303.4
8/27/2017,FUNWORLD,2256698.4
8/26/2017,FUNWORLD,3185259.4
8/27/2017,FUNWORLD,1624810.8
8/17/2017,FUNWORLD,1165964.8
8/12/2017,FUNWORLD,1144674.6
8/19/2017,FUNWORLD,1496159.6
8/17/2017,FUNWORLD,106938
8/16/2017,FUNWORLD,1672471
8/13/2017,FUNWORLD,1786013
8/19/2017,FUNWORLD,669811.8
8/27/2017,FUNWORLD,1550802.6
8/27/2017,FUNWORLD,74825.4
8/13/2017,FUNWORLD,454889
8/5/2017,FUNWORLD,1810276.8
8/27/2017,FUNWORLD,65551
8/27/2017,FUNWORLD,2355278.4
8/6/2017,FUNWORLD,1644249.4
8/13/2017,FUNWORLD,694522.6
8/20/2017,FUNWORLD,119544.8
8/13/2017,FUNWORLD,1024157.6
8/27/2017,FUNWORLD,175135.8
8/12/2017,FUNWORLD,2685160.4
8/12/2017,FUNWORLD,1644249.4
8/17/2017,FUNWORLD,900857.8
8/13/2017,FUNWORLD,1797523.6
8/13/2017,FUNWORLD,694522.6
8/27/2017,FUNWORLD,3766911.6
8/29/2017,FUNWORLD,351077.8
8/17/2017,FUNWORLD,1028675.2
8/17/2017,FUNWORLD,555739.8
8/4/2017,FUNWORLD,694522.6
8/17/2017,FUNWORLD,1309040.6
8/27/2017,FUNWORLD,157461.4
8/19/2017,FUNWORLD,850647.4
8/17/2017,FUNWORLD,1285333.2
8/12/2017,FUNWORLD,931417.4
8/22/2017,SEPATU KILAT,1944428.6
8/25/2017,SEPATU KILAT,1209419.4
8/29/2017,SEPATU KILAT,83428
8/1/2017,SEPATU KILAT,1147412.4
8/18/2017,SEPATU KILAT,837677.8
8/18/2017,SEPATU KILAT,1597127.6
8/16/2017,SEPATU KILAT,3167869
8/28/2017,SEPATU KILAT,1440805.6
8/18/2017,SEPATU KILAT,77983.8
8/3/2017,SABRINA SHAPE UP FOUND,259470.2
8/6/2017,SABRINA SHAPE UP FOUND,159046.2
8/15/2017,CINEMAX,2433561.4
8/18/2017,CINEMAX,1022351.8
8/17/2017,CINEMAX,1521281.2
8/17/2017,CINEMAX,288785.4
8/17/2017,CINEMAX,334323.4
8/18/2017,CINEMAX,234613.8
8/17/2017,CINEMAX,1845828.2
8/5/2017,CINEMAX,1200197.8
8/17/2017,CINEMAX,2131145.2
8/24/2017,CINEMAX,639022.8
8/16/2017,CINEMAX,1932885.8
8/31/2017,CINEMAX,560665.2
8/23/2017,CINEMAX,2048701
8/31/2017,CINEMAX,2191522.8
8/26/2017,CINEMAX,2244417.8
8/11/2017,CINEMAX,782778.6
8/24/2017,CINEMAX,1542181
8/23/2017,CINEMAX,954160.8
8/24/2017,CINEMAX,2191522.8
8/23/2017,CINEMAX,1710966.2
8/14/2017,CINEMAX,2088750.8
8/11/2017,CINEMAX,1176850.2
8/16/2017,CINEMAX,75150
8/17/2017,CINEMAX,932163.2
8/30/2017,CINEMAX,624536.8
8/15/2017,CINEMAX,1533783.2
8/12/2017,CINEMAX,162489.6
8/3/2017,CINEMAX,748699.2
8/17/2017,CINEMAX,2346034.8
8/17/2017,CINEMAX,2346034.8
8/31/2017,CINEMAX,2191522.8
8/25/2017,CINEMAX,1125076.4
8/20/2017,CINEMAX,926791.8
8/31/2017,CINEMAX,2191522.8
8/2/2017,CINEMAX,1742418.4
8/18/2017,CINEMAX,1997209.6
8/17/2017,CINEMAX,1675055
8/20/2017,CINEMAX,1671286.2
8/10/2017,CINEMAX,1123842.4
8/5/2017,CINEMAX,2230841.8
8/13/2017,CINEMAX,600759.2
8/9/2017,CINEMAX,1653093.4
8/5/2017,CINEMAX,3859734.4
8/10/2017,CINEMAX,1435100
8/24/2017,CINEMAX,1712816.2
8/4/2017,CINEMAX,1627094.6
8/19/2017,CINEMAX,1710578.4
8/31/2017,CINEMAX,2536619.2
8/28/2017,CINEMAX,2674931.2
8/17/2017,CINEMAX,2541133.6
8/20/2017,CINEMAX,1681743.6
8/13/2017,CINEMAX,755089.8
8/12/2017,CINEMAX,2275610.6
8/17/2017,CINEMAX,3040523.8
8/27/2017,CINEMAX,2166732.6
8/26/2017,CINEMAX,3140320.8
8/22/2017,CINEMAX,3343559.2
8/21/2017,CINEMAX,2768673
8/26/2017,CINEMAX,627746
8/13/2017,CINEMAX,127351.4
8/12/2017,CINEMAX,3370487.8
8/17/2017,CINEMAX,1514911.6
8/12/2017,CINEMAX,581357.2
8/13/2017,CINEMAX,3406363.2
8/14/2017,CINEMAX,2748538.4
8/26/2017,CINEMAX,880349.6
8/19/2017,CINEMAX,1264695.2
8/21/2017,CINEMAX,479662.2
8/19/2017,CINEMAX,1194834.2
8/20/2017,CINEMAX,740863.4
8/1/2017,CINEMAX,2778405.4
8/20/2017,CINEMAX,1274166
8/20/2017,CINEMAX,1648672.8
8/19/2017,CINEMAX,2378469.2
8/28/2017,CINEMAX,735083.4
8/20/2017,CINEMAX,245833
8/20/2017,CINEMAX,245833
